game_pk,date,away_team,home_team,venue,day_night,away_runs,home_runs,total_runs,total_hr,weather_raw,wind_raw,season
634615,2021-04-01,Los Angeles Dodgers,Colorado Rockies,Coors Field,day,5,8,13,0,"70 degrees, Sunny.","5 mph, Out To CF.",2021
634636,2021-04-01,St. Louis Cardinals,Cincinnati Reds,Great American Ball Park,day,11,6,17,4,"37 degrees, Cloudy.","16 mph, Out To RF.",2021
634622,2021-04-01,Atlanta Braves,Philadelphia Phillies,Citizens Bank Park,day,2,3,5,1,"49 degrees, Partly Cloudy.","19 mph, L To R.",2021
634627,2021-04-01,Baltimore Orioles,Boston Red Sox,Fenway Park,day,3,0,3,0,"37 degrees, Cloudy.","10 mph, Out To RF.",2021
634627,2021-04-02,Baltimore Orioles,Boston Red Sox,Fenway Park,day,3,0,3,0,"37 degrees, Cloudy.","10 mph, Out To RF.",2021
634605,2021-04-03,Houston Astros,Oakland Athletics,Oakland Coliseum,night,9,5,14,3,"55 degrees, Partly Cloudy.","17 mph, Out To RF.",2021
634652,2021-04-01,Tampa Bay Rays,Miami Marlins,loanDepot park,day,1,0,1,1,"72 degrees, Roof Closed.","0 mph, None.",2021
634576,2021-04-03,Arizona Diamondbacks,San Diego Padres,Petco Park,night,2,4,6,2,"63 degrees, Clear.","5 mph, L To R.",2021
634578,2021-04-03,San Francisco Giants,Seattle Mariners,T-Mobile Park,night,6,3,9,2,"53 degrees, Partly Cloudy.","2 mph, L To R.",2021
634640,2021-04-02,Houston Astros,Oakland Athletics,Oakland Coliseum,night,8,1,9,2,"68 degrees, Clear.","9 mph, Out To RF.",2021
634631,2021-04-03,Chicago White Sox,Los Angeles Angels,Angel Stadium,night,12,8,20,4,"66 degrees, Clear.","10 mph, Out To LF.",2021
634642,2021-04-01,Toronto Blue Jays,New York Yankees,Yankee Stadium,day,3,2,5,2,"43 degrees, Cloudy.","16 mph, In From RF.",2021
634645,2021-04-01,Cleveland Indians,Detroit Tigers,Comerica Park,day,2,3,5,2,"32 degrees, Snow.","15 mph, Out To CF.",2021
634629,2021-04-03,Houston Astros,Oakland Athletics,Oakland Coliseum,day,9,1,10,1,"60 degrees, Partly Cloudy.","12 mph, Out To RF.",2021
634644,2021-04-03,Toronto Blue Jays,New York Yankees,Yankee Stadium,day,3,5,8,2,"44 degrees, Sunny.","11 mph, Out To RF.",2021
634634,2021-04-01,Pittsburgh Pirates,Chicago Cubs,Wrigley Field,day,5,3,8,1,"36 degrees, Sunny.","7 mph, L To R.",2021
634618,2021-04-01,Arizona Diamondbacks,San Diego Padres,Petco Park,day,7,8,15,6,"85 degrees, Partly Cloudy.","10 mph, L To R.",2021
634647,2021-04-01,New York Mets,Washington Nationals,Nationals Park,night,5,1,6,2,"80 degrees, Cloudy.","3 mph, Out To CF.",2021
634602,2021-04-02,Tampa Bay Rays,Miami Marlins,loanDepot park,night,6,4,10,3,"74 degrees, Roof Closed.","0 mph, None.",2021
634630,2021-04-01,Texas Rangers,Kansas City Royals,Kauffman Stadium,day,10,14,24,3,"50 degrees, Sunny.","4 mph, In From RF.",2021
634638,2021-04-01,Minnesota Twins,Milwaukee Brewers,American Family Field,day,5,6,11,1,"63 degrees, Roof Closed.","0 mph, None.",2021
634573,2021-04-03,Cleveland Indians,Detroit Tigers,Comerica Park,day,2,5,7,1,"49 degrees, Partly Cloudy.","20 mph, L To R.",2021
634625,2021-04-02,San Francisco Giants,Seattle Mariners,T-Mobile Park,night,7,8,15,4,"54 degrees, Cloudy.","3 mph, In From RF.",2021
634655,2021-04-02,Chicago White Sox,Los Angeles Angels,Angel Stadium,night,3,4,7,2,"81 degrees, Partly Cloudy.","6 mph, Out To CF.",2021
634577,2021-04-03,Baltimore Orioles,Boston Red Sox,Fenway Park,day,4,2,6,0,"46 degrees, Sunny.","15 mph, L To R.",2021
634653,2021-04-03,Los Angeles Dodgers,Colorado Rockies,Coors Field,night,11,6,17,4,"73 degrees, Clear.","6 mph, Out To LF.",2021
634643,2021-04-03,Pittsburgh Pirates,Chicago Cubs,Wrigley Field,day,1,5,6,2,"62 degrees, Sunny.","8 mph, Out To CF.",2021
634580,2021-04-03,Atlanta Braves,Philadelphia Phillies,Citizens Bank Park,day,0,4,4,0,"53 degrees, Sunny.","8 mph, L To R.",2021
634654,2021-04-03,St. Louis Cardinals,Cincinnati Reds,Great American Ball Park,day,6,9,15,5,"66 degrees, Sunny.","13 mph, R To L.",2021
634596,2021-04-03,Tampa Bay Rays,Miami Marlins,loanDepot park,night,7,12,19,3,"70 degrees, Roof Closed.","0 mph, None.",2021
634604,2021-04-03,Texas Rangers,Kansas City Royals,Kauffman Stadium,day,4,11,15,3,"68 degrees, Sunny.","15 mph, L To R.",2021
634646,2021-04-04,Chicago White Sox,Los Angeles Angels,Angel Stadium,night,3,5,8,2,"71 degrees, Clear.","10 mph, Out To CF.",2021
634617,2021-04-04,Atlanta Braves,Philadelphia Phillies,Citizens Bank Park,day,1,2,3,2,"63 degrees, Sunny.","5 mph, In From CF.",2021
634633,2021-04-04,Los Angeles Dodgers,Colorado Rockies,Coors Field,night,6,5,11,3,"77 degrees, Clear.","8 mph, R To L.",2021
634620,2021-04-03,New York Mets,Washington Nationals,Nationals Park,day,4,8,12,7,"90 degrees, Partly Cloudy.","9 mph, Out To CF.",2021
634575,2021-04-03,Minnesota Twins,Milwaukee Brewers,American Family Field,night,2,0,2,1,"65 degrees, Roof Closed.","0 mph, None.",2021
634623,2021-04-04,Arizona Diamondbacks,San Diego Padres,Petco Park,night,0,7,7,1,"64 degrees, Clear.","15 mph, Out To RF.",2021
634572,2021-04-04,Arizona Diamondbacks,San Diego Padres,Petco Park,day,3,1,4,1,"71 degrees, Sunny.","6 mph, L To R.",2021
634651,2021-04-04,Houston Astros,Oakland Athletics,Oakland Coliseum,day,9,2,11,3,"61 degrees, Partly Cloudy.","10 mph, Out To RF.",2021
634607,2021-04-04,Toronto Blue Jays,New York Yankees,Yankee Stadium,day,3,1,4,2,"53 degrees, Sunny.","6 mph, In From RF.",2021
634611,2021-04-04,Cleveland Indians,Detroit Tigers,Comerica Park,day,9,3,12,5,"61 degrees, Sunny.","3 mph, L To R.",2021
634610,2021-04-04,Baltimore Orioles,Boston Red Sox,Fenway Park,day,11,3,14,1,"56 degrees, Sunny.","10 mph, L To R.",2021
634560,2021-04-04,St. Louis Cardinals,Cincinnati Reds,Great American Ball Park,day,1,12,13,2,"66 degrees, Sunny.","3 mph, Calm.",2021
634639,2021-04-04,San Francisco Giants,Seattle Mariners,T-Mobile Park,night,0,4,4,2,"60 degrees, Cloudy.","2 mph, Calm.",2021
634613,2021-04-04,Pittsburgh Pirates,Chicago Cubs,Wrigley Field,day,3,4,7,2,"68 degrees, Sunny.","3 mph, R To L.",2021
634597,2021-04-04,Minnesota Twins,Milwaukee Brewers,American Family Field,day,8,2,10,3,"67 degrees, Sunny.","12 mph, In From CF.",2021
634557,2021-04-04,Los Angeles Dodgers,Colorado Rockies,Coors Field,day,4,2,6,1,"77 degrees, Cloudy.","10 mph, L To R.",2021
634587,2021-04-05,Baltimore Orioles,New York Yankees,Yankee Stadium,night,0,7,7,2,"65 degrees, Clear.","17 mph, Out To RF.",2021
634612,2021-04-05,Toronto Blue Jays,Texas Rangers,Globe Life Field,day,6,2,8,2,"73 degrees, Partly Cloudy.","15 mph, Varies.",2021
634556,2021-04-04,New York Mets,Washington Nationals,Nationals Park,day,11,9,20,4,"77 degrees, Cloudy.","2 mph, Out To LF.",2021
634637,2021-04-05,Chicago White Sox,Los Angeles Angels,Angel Stadium,night,4,7,11,3,"72 degrees, Partly Cloudy.","13 mph, Out To LF.",2021
634593,2021-04-04,Texas Rangers,Kansas City Royals,Kauffman Stadium,day,7,3,10,3,"76 degrees, Sunny.","15 mph, R To L.",2021
634616,2021-04-05,Kansas City Royals,Cleveland Indians,Progressive Field,day,3,0,3,1,"44 degrees, Cloudy.","14 mph, In From RF.",2021
634588,2021-04-05,Minnesota Twins,Detroit Tigers,Comerica Park,day,15,6,21,5,"49 degrees, Cloudy.","8 mph, In From CF.",2021
634558,2021-04-05,Pittsburgh Pirates,Cincinnati Reds,Great American Ball Park,night,3,5,8,5,"80 degrees, Clear.","11 mph, R To L.",2021
634601,2021-04-05,Tampa Bay Rays,Boston Red Sox,Fenway Park,night,2,11,13,1,"56 degrees, Cloudy.","15 mph, L To R.",2021
634600,2021-04-06,Los Angeles Dodgers,Oakland Athletics,Oakland Coliseum,night,10,3,13,3,"55 degrees, Cloudy.","15 mph, Out To RF.",2021
634562,2021-04-05,St. Louis Cardinals,Miami Marlins,loanDepot park,night,4,1,5,1,"72 degrees, Clear.","13 mph, L To R.",2021
634566,2021-04-05,Milwaukee Brewers,Chicago Cubs,Wrigley Field,night,3,5,8,4,"71 degrees, Partly Cloudy.","4 mph, R To L.",2021
634606,2021-04-05,New York Mets,Philadelphia Phillies,Citizens Bank Park,night,3,5,8,0,"67 degrees, Partly Cloudy.","17 mph, In From LF.",2021
634551,2021-04-06,Chicago White Sox,Seattle Mariners,T-Mobile Park,night,6,0,6,1,"51 degrees, Clear.","3 mph, Out To CF.",2021
634552,2021-04-06,Houston Astros,Los Angeles Angels,Angel Stadium,night,6,7,13,2,"65 degrees, Partly Cloudy.","10 mph, R To L.",2021
634624,2021-04-06,Atlanta Braves,Washington Nationals,Nationals Park,day,5,6,11,5,"74 degrees, Partly Cloudy.","5 mph, L To R.",2021
634595,2021-04-05,Atlanta Braves,Washington Nationals,Nationals Park,day,2,0,2,1,"81 degrees, Clear.","5 mph, In From LF.",2021
634591,2021-04-06,San Francisco Giants,San Diego Padres,Petco Park,night,3,2,5,3,"61 degrees, Partly Cloudy.","8 mph, Out To RF.",2021
634530,2021-04-06,Pittsburgh Pirates,Cincinnati Reds,Great American Ball Park,night,1,14,15,3,"78 degrees, Partly Cloudy.","10 mph, Varies.",2021
634599,2021-04-06,Baltimore Orioles,New York Yankees,Yankee Stadium,night,2,7,9,3,"68 degrees, Clear.","11 mph, In From LF.",2021
